"siteName","sampleID","date","time","nameoftester","siteID","depth","airtemp","watertemp","waveheight","currentweather","raininlast3days","tide","comments","testingtype","totalbacteria","ecolbacteria","enterobacteria"
"Campland- Mission Bay",553112672,"2019-11-21","8-9 am","Jamie Owens",792,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",10112
"Coronado: Avenida Del Sol",553112618,"2019-11-21","6-7 am","Karoly",664,12.0,"60-70","56-60","3-4","light rain","yes","medium","","Quantitray Sealer","","",41
"Coronado: Silver Strand State Beach",553112619,"2019-11-21","9-10 am","Linda",663,18.0,"50-60","56-60","5-6","light rain","yes","medium","","Quantitray Sealer","","",0
"Dog Beach (Ocean Beach)",553112673,"2019-11-21","8-9 am","Hillary",847,0.0,"60-70","61-65","4-5","light rain","yes","medium","","Quantitray Sealer","","",981
"Imperial Beach Pier",553112622,"2019-11-21","1-2 pm","JH",662,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",6131
"Imperial Beach: Seacoast Drive",553112624,"2019-11-21","1-2 pm","JH",661,6.0,"60-70","56-60","3-4","partly cloudy","yes","medium","","Quantitray Sealer","","",24196
"Mission Bay Aquatic Center",553112671,"2019-11-21","8-9 am","Jamie Owens",810,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",5247
"Ocean Beach Pier",553112674,"2019-11-21","9-10 am","Hillary",846,0.0,"60-70","61-65","2-3","light rain","yes","medium","","Quantitray Sealer","","",1576
"Sunset Cliffs (Ocean Beach)",553112675,"2019-11-21","9-10 am","Hillary",848,0.0,"60-70","61-65","4-5","light rain","yes","medium","","Quantitray Sealer","","",350
"Tourmaline Surf Park- Pacific Beach",553112670,"2019-11-21","8-9 am","Jamie Owens",791,0.0,"50-60","56-60","2-3","partly cloudy","yes","medium","","Quantitray Sealer","","",41
"Campland- Mission Bay",553112426,"2019-11-14","8-9 am","Jamie",792,0.0,"60-70","61-65",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",41
"Dog Beach (Ocean Beach)",553112428,"2019-11-14","8-9 am","Alexis",847,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",31
"Mission Bay Aquatic Center",553112425,"2019-11-14","8-9 am","Jamie",810,0.0,"60-70","61-65",0.5,"partly cloudy","no","high","","Quantitray Sealer","","",0
"Ocean Beach Pier",553112427,"2019-11-14","9-10 am","Alexis",846,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",41
"Sunset Cliffs (Ocean Beach)",553112429,"2019-11-14","9-10 am","Alexis",848,0.0,"60-70","61-65","1-2","sunny","no","high","","Quantitray Sealer","","",41
"Tourmaline Surf Park- Pacific Beach",553112424,"2019-11-14","8-9 am","Jamie",791,0.0,"60-70","61-65","1-2","partly cloudy","no","high","","Quantitray Sealer","","",10
"Imperial Beach Pier",553112421,"2019-11-13","2-3 pm","Gracie, J",662,6.0,"60-70","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",20
"Imperial Beach: Seacoast Drive",553112423,"2019-11-13","2-3 pm","Colby, Declan, J",661,6.0,"60-70","61-65","2-3","sunny","no","medium","","Quantitray Sealer","","",0
